"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ManufacturedProduct","ManufacturedProduct","","","",1,1,"","","","null {[]} {[]}
"ManufacturedProduct.manufacturedMaterial.code.originalText.integrityCheckAlgorithm","ManufacturedProduct.manufacturedMaterial.code.originalText.integrityCheckAlgorithm","","","Integrity Check Algorithm",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","Specifies the algorithm used to compute the integrityCheck value. The cryptographically strong checksum algorithm Secure Hash Algorithm-1 (SHA-1) is currently the industry standard. It has superseded the MD5 algorithm only a couple of years ago, when certain flaws in the security of MD5 were discovered. Currently the SHA-1 hash algorithm is the default choice for the integrity check algorithm. Note that SHA-256 is also entering widespread usage.","","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-IntegrityCheckAlgorithm|2.0.0","",,,,"ED.integrityCheckAlgorithm",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.language","ManufacturedProduct.manufacturedMaterial.code.originalText.language","","","Language",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","For character based information the language property specifies the human language of the text.","","","","","","","","","",,,,,"",,,,"ED.language",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.mediaType","ManufacturedProduct.manufacturedMaterial.code.originalText.mediaType","","","Media Type",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","Identifies the type of the encapsulated data and identifies a method to interpret or render the data.","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/v3-MediaType","",,,,"ED.mediaType",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.representation","ManufacturedProduct.manufacturedMaterial.code.originalText.representation","","","",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple]]} {[]}
","","","","","","","","","","","",,"required","","http://hl7.org/cda/stds/core/ValueSet/BinaryDataEncoding","",,,,"ED.representation",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.xmlText","ManufacturedProduct.manufacturedMaterial.code.originalText.xmlText","","","",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple]]} {[]}
","Allows for mixed text content. If @representation='B64', this SHALL be a base64binary string.","Data that is primarily intended for human interpretation or for further machine processing is outside the scope of HL7. This includes unformatted or formatted written language, multimedia data, or structured information as defined by a different standard (e.g., XML-signatures.)","This element is represented in XML as textual content. The actual name ""xmlText"" will not appear in a CDA instance.","","","","","","","","",,,,,"",,,,"ED.xmlText",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.reference","ManufacturedProduct.manufacturedMaterial.code.originalText.reference","","","Reference",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/TEL {[]} {[]}
","","A telecommunication address (TEL), such as a URL for HTTP or FTP, which will resolve to precisely the same binary data that could as well have been provided as inline data.","","","","","","","","","",,,,,"",,,,"ED.reference",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.thumbnail","ManufacturedProduct.manufacturedMaterial.code.originalText.thumbnail","","","Thumbnail",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ED {[]} {[]}
","","An abbreviated rendition of the full data. A thumbnail requires significantly fewer resources than the full data, while still maintaining some distinctive similarity with the full data. A thumbnail is typically used with by-reference encapsulated data. It allows a user to select data more efficiently before actually downloading through the reference.","","","","","","","","","",,,,,"",,,,"ED.thumbnail",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.qualifier","ManufacturedProduct.manufacturedMaterial.code.qualifier","","","Qualifier",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CR {[]} {[]}
","","Specifies additional codes that increase the specificity of the the primary code.","","","","","","","","","",,,,,"",,,,"CD.qualifier",0,*,"",""
"ManufacturedProduct.manufacturedMaterial.code.translation","ManufacturedProduct.manufacturedMaterial.code.translation","","","Translation",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CD {[]} {[]}
","Autre codification - CIP : Code Identifiant de Présentation (1.2.250.1.213.2.3.2) de l'ANSM (13 chiffres) - UCD : Unités Communes de Dispensation (1.2.250.1.213.2.61) du Club Inter Pharmaceutique - ATC : Classification anatomique, thérapeutique et chimique (2.16.840.1.113883.6.73)  - MV : Médicament Virtuel (1.2.250.1.213.2.59) de Medicabase (MV+ 8 chiffres) ","A set of other concept descriptors that translate this concept descriptor into other code systems.","","","","","","","","","",,,,,"",,,,"CD.translation",0,*,"",""
"ManufacturedProduct.manufacturedMaterial.name","ManufacturedProduct.manufacturedMaterial.name","","","",1,1,"Y","","","http://hl7.org/cda/stds/core/StructureDefinition/EN {[]} {[]}
","Nom de marque du produit","","","","","","","","","","",,,,,"",,,,"Material.name",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.lotNumberText","ManufacturedProduct.manufacturedMaterial.lotNumberText","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ST {[]} {[]}
","Numéro de lot","","","","","","","","","","",,,,,"",,,,"Material.lotNumberText",0,1,"",""
"ManufacturedProduct.manufacturerOrganization","ManufacturedProduct.manufacturerOrganization","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/Organization {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ManufacturedProduct.manufacturerOrganization",0,1,"",""
